2018 Rank,City Name,State Name,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (sq km),2016 Population Density (per sq mi),2016 Population Density (per sq km),Location,Mayor,Time Zone (Summer),Area Codes
251,Murrieta,California,114985,103466,+11.13,33.6  ,87.0 ,3324 ,1283, ﻿33.5721°N 117.1904°W﻿ ,nan,utc−7 (pdt),951
252,Temecula,California,114742,100097,+14.63,37.3  ,96.6 ,3031 ,1170, ﻿33.4931°N 117.1317°W﻿ ,nan,utc−7 (pdt),951
253,Springfield,Illinois,114694,116250,−1.34,60.1  ,155.7 ,1925 ,743, ﻿39.7911°N 89.6446°W﻿ ,jim langfelder ,utc−5 (cdt),217
254,Palm Bay,Florida,114194,103190,+10.66,65.7  ,170.2 ,1676 ,647, ﻿27.9856°N 80.6626°W﻿ ,william capote,utc−4 (edt),321
255,Costa Mesa,California,113615,109960,+3.32,15.7  ,40.7 ,7186 ,2775, ﻿33.6659°N 117.9123°W﻿ ,nan,nan,nan
256,Westminster,Colorado,113479,106114,+6.94,31.7  ,82.1 ,3592 ,1387, ﻿39.8822°N 105.0644°W﻿ ,herb atchison,utc−6 (mdt),both 303 and 720
257,North Charleston,South Carolina,113237,97471,+16.18,73.7  ,190.9 ,1483 ,573, ﻿32.9178°N 80.0650°W﻿ ,r. keith summey,utc−4 (edt),nan
258,Miami Gardens,Florida,113069,107167,+5.51,18.2  ,47.1 ,6212 ,2398, ﻿25.9489°N 80.2436°W﻿ ,oliver g. gilbert iii,utc-4 (edt),305 786
259,Manchester,New Hampshire,112525,109565,+2.70,33.1  ,85.7 ,3339 ,1289, ﻿42.9849°N 71.4441°W﻿ ,joyce craig ,utc-4 (eastern),603
260,High Point,North Carolina,112316,104371,+7.61,55.2  ,143.0 ,2015 ,778, ﻿35.9900°N 79.9905°W﻿ ,jay w. wagner,utc−4 (edt),336
261,Downey,California,112269,111772,+0.44,12.4  ,32.1 ,9134 ,3527, ﻿33.9382°N 118.1309°W﻿ ,nan,utc-7 (pdt),562
